Genres,GenreCount,TrackCount
german hip hop,1,3111
"danish hip hop, danish pop",1,1324
"french hip hop, pop urbaine, rap francais",1,1276
"reggaeton, trap latino, urbano latino",1,1225
"polish hip hop, polish trap",1,1100
reggaeton,1,1071
"dutch hip hop, dutch rap pop",1,1037
k-pop,1,962
turkish pop,1,946
polish hip hop,1,905
dutch hip hop,1,895
"reggaeton, urbano latino",1,872
cantopop,1,722
"italian adult pop, italian pop",1,698
manele,1,680
mizrahi,1,631
swedish pop,1,629
pop,1,624
"czech hip hop, czsk hip hop",1,605
"finnish hip hop, finnish pop",1,579
mandopop,1,573
trap,1,573
"latin hip hop, reggaeton, trap latino, urbano latino",1,570
romanian trap,1,567
"afrobeats, nigerian pop",1,566
"french hip hop, pop urbaine, rap marseille",1,560
"turkish hip hop, turkish trap",1,531
italian hip hop,1,526
dembow,1,519
danish pop,1,515
"greek hip hop, greek trap",1,511
norwegian pop,1,507
j-pop,1,506
"finnish dance pop, finnish hip hop, finnish pop",1,500
v-pop,1,486
italian trap,1,486
"french hip hop, pop urbaine, rap conscient",1,476
khaleeji,1,475
"k-pop, k-pop boy group",1,472
amapiano,1,471
finnish hip hop,1,467
"italian hip hop, italian pop",1,459
danish hip hop,1,454
dancehall,1,449
"bulgarian pop, chalga",1,447
turkish hip hop,1,443
greek trap,1,436
rap maroc,1,434
"french hip hop, pop urbaine",1,425
cumbia,1,421
french rap,1,416
"czech drill, czech hip hop, czsk hip hop",1,404
"french hip hop, pop urbaine, r&b francais",1,401
indonesian pop,1,390
israeli pop,1,385
czsk hip hop,1,385
"italian hip hop, italian pop, trap italiana",1,376
"russian hip hop, russian trap",1,372
"german drill, german hip hop",1,369
german pop,1,369
greek drill,1,347
"egyptian hip hop, egyptian trap",1,342
"swedish gangsta rap, swedish hip hop, swedish trap, swedish trap pop",1,341
hungarian pop,1,334
folk pop,1,334
"reggaeton, reggaeton flow, trap latino, urbano latino",1,312
"dance pop, pop",1,309
"greek pop, laiko",1,305
"german hip hop, hamburg hip hop",1,301
rap,1,299
"italian hip hop, trap italiana",1,295
"german hip hop, german pop",1,294
"czsk hip hop, slovak hip hop",1,294
dansktop,1,290
lithuanian pop,1,286
cumbia pop,1,285
"trap latino, urbano latino",1,274
"t-pop, thai pop",1,273
"puerto rican pop, reggaeton, trap latino, urbano latino",1,271
opm,1,270
russelater,1,270
"finnish dance pop, finnish hip hop",1,265
"filmi, modern bollywood",1,262
tropical house,1,259
hip hop,1,259
k-rap,1,257
"swedish hip hop, swedish trap pop",1,256
"french rap, pop urbaine",1,256
trap latino,1,255
"finnish dance pop, finnish pop",1,253
"dancehall, soca",1,248
"2000s, 2010s, 2020s, alternative pop, americana, artist of the decade, chamber pop, contemporary country, country, country pop, country-pop, cultural icon, dance-pop, electropop, female vocals, fixme label mess, folk pop, hp, icon, indie folk, indie pop, late 2000s, loves planes, nuno, pop, pop rock, re-recording, relic inn, singer-songwriter, singer | songwriter, synth-pop, taylor-swift, teen pop, top 40",2,247
uk hip hop,1,245
"swedish idol pop, swedish pop",1,243
"k-pop, k-pop girl group",1,236
"french hip hop, pop urbaine, r&b francais, rap francais",1,233
hip hop tuga,1,233
"reggaeton, reggaeton colombiano, trap latino, urbano latino",1,232
"german cloud rap, german hip hop",1,232
"swedish drill, swedish gangsta rap, swedish hip hop, swedish trap, swedish trap pop",1,230
malaysian pop,1,230
"agronejo, arrocha, sertanejo, sertanejo universitario",1,224
laiko,1,218
finnish pop,1,213
"2010s, 2020s, alternative r&b, canadian hip hop, contemporary r&b, cotm candidate, hardcore hip, hardcore hip hop, hip hop, hip-hop, lesbian, luxury rap, pedophilia, pop, pop rap, r&b, rap, rap us, rapper, relic inn, trap, trap rap",1,211
punjabi pop,1,207
"hip hop tuga, trap tuga",1,206
t-pop,1,205
"finnish dance pop, finnish pop, iskelma, suomi rock",1,199
"mandopop, taiwan singer-songwriter",1,198
"albanian hip hop, german hip hop",1,195
"russian drill, russian hip hop, russian trap",1,194
"atl hip hop, hip hop, rap, southern hip hop, trap",1,192
