Genre,TrackCount
hip hop,1311
trap,1201
mizrahi,1174
dansktop,1159
www.musik-sammler.de,1134
cover,1134
734500,1134
"latin, latin urban, reggaeton",1131
italian trap,909
swedish pop,850
"french rap, pop urbaine",819
french rap,747
"german, german hip hop, hip hop, rap",737
"hip hop, pop rap",730
german hip hop,723
"make, dont rate the va artist, dont rate the va artist ffs what, dont tag or rate the various artist, dont tag the va artist, dont tag the va artist wtf, dont use this for artist credits you are to lazy to look-up",716
"make, stop using this for artist credits you are to lazy to look-up",716
"make. ffs!, stop using this for artist credits you are to lazy to look-up",716
dembow,713
"not *every* artist, various artists, venezolana, vera kaa, visions, volkstumliche musik, we ll never stop living this way a ghostly primer, why are you downvoting the mess tag? it is a mess!, why are you voting down tags that explain stuff, wireharp, world, you *should* fix your tags, you do realise that every time you downvote a fixme-tag below 0 i unvote it and that tag now permanently stays in the expanded list?, z103 5 street mix 2k7, zero t 51, zweiohr, ƒk₷m€, мелодии рождества, fixme, 嫌われ松子の歌たち",706
"finnish hip hop, finnish pop",688
"arabic hip hop, moroccan pop, moroccan rap",670
"arabic hip hop, egyptian hip hop, egyptian pop, mahraganat",584
"pop rap, hip hop",576
"latin, latin urban, reggaeton, trap latino, urbano latino",559
manele,559
"make, dresch, driven by 80s anthems, drum bass, educacion, elc chritmas, electro, electronic, es lebe der punk, espanol, eurodance, every-time you and others downvote. it registers in your tags. then i remove my vote. presto! youre the only one keeping it here!, experience the classics, experimental, f to the i to the x to the m to the e, faaaaaail, fail tags, failtags, fix, fix me, fix mess, fix tags, fix your tags, fixme, fix‌me, fjord, folk, folklore, foreign language, frederic chopin, full of fail tags, fusion, futebol, fuzzy artist, glass, gospel religious, goth, grase, greatest ever! punk & new wave: the definitive collection, groom to the gallows, gerard palaprat, has german audiobooks, healing sixes, hemi-sync, hillbilly, hip hop, hollywood hits, hot hits, http musicbrainz org release-group b2aa521d-001b-34ad-a5e9-ca310e55b254 html, http:",548
khaleeji,544
"2010s, 2020s, alternative r&b, canadian hip hop, contemporary r&b, cotm candidate, hardcore hip, hardcore hip hop, hip hop, hip-hop, lesbian, luxury rap, pedophilia, pop, pop rap, r&b, rap, rap us, rapper, relic inn, trap, trap rap",531
"734011.jpg, i give up on the immature people in the tags here., ibiza, indie, infantil, instrumental, japan, jazz, john coltrane, josquin, jucanto, jungle, kinderchore, kinderliedjes kapiteinwinokio humo, kindly fix, kindly fixme, klaus baumgart, kpop, la grande sophie, label as artist, latin, leaving on a jet plan, legion of von, likedis auto, lil eazy-e, liturgic, live, liz, liz andrade, local music of iran, loosers that downvote fixmetags are ..., los 24 grandes exitos de la zarzuela, lounge, marilyn manson, mary j blige, mashup, meditation, mega, megafixme, mess, mess mess, mess mess mess, messy tags, meta artist, metal, michael jackson, mimicking birds, miroque, mohsen namjoo, montuno, more 70, musica, musical, my sharona, m‌ess, ncs, nederlands, new age, new generations, new generations philip glass, new wave, niroshima, nitzer ebb, no matter how long you keep voting down the fixme tag i will fight you. this should be fixed, no this is still a mess, nox, number 1, old skool of rock disc 1, oldest artist #1, oldest artist rowid, opera, orthodox, ost, papeete, pavarotti, piosenka poetycka muzyka autorska, please consider not using this for artist credits, please fix, please rename to [various artists], pop, pop-rock, popular, practically all these tags are fail, progressive trance, psychobilly, psytrance, punk, punk rock, put in brackets, pzzqxnzt6snn ekrngheoblbupu-, r&b, ragga, rap, razieq, reggae, release, rename into [various artists], rhythm del mundo, rock, rock and roll, rockabilly, ronak bhatt, s.a. souvenirs, shankar jaikishan, shine 4, shwetabh sucks, ska, soft rock, sonic seducer cold hands vi, soul cargo, special purpose, special purpose artist, sprechgesang, still a mess, stop using this for artist credits period!, stop using this for artist credits you are to lazy to look-up",511
"italian trap, pop rap, trap",498
turkish hip hop,493
"make. srsly, sunshine, tag spam, tagmess, tags, tagsmess, tango, tejano, the welcome committee, to the guy that keeps downvoting *every* tag on the va artist, trance, trikitixa, tunguska chillout grooves, ultimate love songs greatest love of all disc 1, ultimatecore, unknown, ussr ministry of culture chamber choir, va-we were first-180 hits in their original versions (2014), various, various artist",491
