Genre,TrackCount
german hip hop,2997
"danish hip hop, danish pop",1324
"french hip hop, pop urbaine, rap francais",1276
"reggaeton, trap latino, urbano latino",1221
"polish hip hop, polish trap",1100
"dutch hip hop, dutch rap pop",1037
reggaeton,1025
polish hip hop,905
k-pop,901
dutch hip hop,895
turkish pop,859
"reggaeton, urbano latino",857
cantopop,707
"italian adult pop, italian pop",698
"czech hip hop, czsk hip hop",605
manele,596
mandopop,573
"latin hip hop, reggaeton, trap latino, urbano latino",570
romanian trap,567
"afrobeats, nigerian pop",566
"french hip hop, pop urbaine, rap marseille",560
swedish pop,557
"turkish hip hop, turkish trap",531
italian hip hop,526
danish pop,515
pop,511
"greek hip hop, greek trap",511
"finnish dance pop, finnish hip hop, finnish pop",500
"french hip hop, pop urbaine, rap conscient",476
"k-pop, k-pop boy group",472
norwegian pop,468
v-pop,467
"italian hip hop, italian pop",459
amapiano,459
danish hip hop,454
"bulgarian pop, chalga",447
finnish hip hop,445
greek trap,436
dembow,436
j-pop,434
"finnish hip hop, finnish pop",434
rap maroc,434
mizrahi,433
trap,428
"french hip hop, pop urbaine",425
italian trap,421
"czech drill, czech hip hop, czsk hip hop",404
"french hip hop, pop urbaine, r&b francais",401
cumbia,399
turkish hip hop,392
israeli pop,385
czsk hip hop,385
"italian hip hop, italian pop, trap italiana",376
"russian hip hop, russian trap",372
"german drill, german hip hop",369
indonesian pop,366
german pop,362
greek drill,347
"egyptian hip hop, egyptian trap",342
"swedish gangsta rap, swedish hip hop, swedish trap, swedish trap pop",341
hungarian pop,334
"reggaeton, reggaeton flow, trap latino, urbano latino",312
"dance pop, pop",309
"greek pop, laiko",305
"german hip hop, hamburg hip hop",301
"italian hip hop, trap italiana",295
"czsk hip hop, slovak hip hop",294
"german hip hop, german pop",293
lithuanian pop,286
cumbia pop,285
rap,284
folk pop,277
"puerto rican pop, reggaeton, trap latino, urbano latino",271
opm,267
"finnish dance pop, finnish hip hop",265
"filmi, modern bollywood",262
russelater,259
"swedish hip hop, swedish trap pop",256
"finnish dance pop, finnish pop",253
french rap,248
dancehall,246
"t-pop, thai pop",246
uk hip hop,245
"swedish idol pop, swedish pop",243
trap latino,241
"k-pop, k-pop girl group",236
k-rap,235
"french hip hop, pop urbaine, r&b francais, rap francais",233
hip hop tuga,233
"trap latino, urbano latino",232
"reggaeton, reggaeton colombiano, trap latino, urbano latino",232
"german cloud rap, german hip hop",232
"swedish drill, swedish gangsta rap, swedish hip hop, swedish trap, swedish trap pop",230
malaysian pop,230
"hip hop tuga, trap tuga",206
punjabi pop,202
t-pop,199
"finnish dance pop, finnish pop, iskelma, suomi rock",199
"mandopop, taiwan singer-songwriter",198
"albanian hip hop, german hip hop",195
"french rap, pop urbaine",195
"russian drill, russian hip hop, russian trap",194
"atl hip hop, hip hop, rap, southern hip hop, trap",192
panamanian pop,192
israeli mediterranean,191
"reggaeton, trap latino, urbano latino, latin",188
khaleeji,188
"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",185
"arabic hip hop, rap maroc",185
"agronejo, arrocha, sertanejo, sertanejo universitario",182
finnish pop,182
"arab pop, egyptian pop",180
dansktop,179
"french hip hop, pop urbaine, rap francais, rap marseille",177
"cantopop, hk-pop",176
"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",174
"french hip hop, pop urbaine, rap conscient, rap francais",173
"v-pop, vietnamese hip hop",171
"art pop, pop",170
"mandopop, taiwan pop",170
"reggaeton, trap latino",170
norwegian pop rap,169
dembow dominicano,168
romanian pop,166
estonian pop,166
k-pop girl group,164
"v-pop, vietnamese hip hop, vietnamese melodic rap",163
russian hip hop,161
"arrocha, sertanejo, sertanejo universitario",160
"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",159
laiko,159
"south african hip hop, south african trap",158
"finnish hip hop, finnish trap",156
dutch pop,155
"greek drill, greek trap",155
icelandic hip hop,155
icelandic pop,154
ukrainian pop,154
"dembow, rap dominicano, trap latino, urbano latino",151
mahraganat,150
"j-pop, j-rock",149
"dancehall, soca",149
"cumbia, cuarteto",149
tropical house,148
spanish pop,147
latvian hip hop,147
latvian pop,147
"melodic rap, rap, trap",146
"reggae en espanol, reggae",146
"sertanejo, sertanejo pop, sertanejo universitario",145
"r&b, rap",145
"trap boricua, trap latino, trap triste, urbano latino",143
"italian hip hop, italian pop, rap napoletano",143
urbano chileno,142
"italian hip hop, italian pop, milan indie",141
polish pop,140
"hungarian hip hop, hungarian pop, magyar trap",140
"dembow, rap dominicano",139
estonian hip hop,139
"classic swedish pop, swedish pop",137
"swedish gangsta rap, swedish hip hop, swedish trap pop",136
"corrido, corridos tumbados, corridos belicos, musica mexicana, sierreno, banda, sad sierreno, electro corridos",136
"israeli mediterranean, israeli pop, mizrahi",135
"latin hip hop, puerto rican pop, reggaeton, trap latino, urbano latino",131
"czech pop, czsk hip hop",131
"pop, uk pop",130
"indie liguria, italian hip hop, italian pop, rap genovese, trap italiana",130
"arabic hip hop, french hip hop, pop urbaine",130
"mambo chileno, urbano chileno",129
christmas,128
french pop,127
portuguese pop,126
"czsk hip hop, slovak trap",126
maskandi,126
"desi pop, filmi, modern bollywood",124
"agronejo, arrocha, sertanejo, sertanejo pop, sertanejo universitario",122
"bulgarian hip hop, bulgarian pop",121
"canadian hip hop, canadian pop, hip hop, pop rap, rap",119
greek hip hop,119
"hungarian hip hop, hungarian pop",119
"electro latino, reggaeton, trap latino, urbano latino",118
"filmi, indian instrumental, modern bollywood",116
edm,116
latin pop,116
"drill francais, french hip hop, pop urbaine, rap francais, trap antillais",116
argentine rock,115
"trap latino, trap, dembow",113
afrobeats,112
"urbano latino, trap latino, reggaeton",112
italian pop,111
"argentine hip hop, trap argentino",111
"bollywood, hindi pop, desi",111
r&b,110
"icelandic hip hop, icelandic pop",109
"reggaeton, latin",109
"bachata, latin hip hop, latin pop, urbano latino",108
"dakke dak, danish hip hop, danish pop",108
"turkce drill, turkish hip hop, turkish trap",107
"boy band, pop",105
"t-pop, thai indie pop",105
"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat",105
