SongID,Title,Artist,TS_Genres,Artist_Genres,Resolved_Genres,Genre_Source,Artist_Match_Type,Matched_Artists,Matched_Artist_IDs,Artist_Parts,Matched_Parts,Unmatched_Parts
11,Clean Baby Sleep White Noise (Loopable),Dream Supplier,,,,unresolved,unmatched,,,Dream Supplier,,
100,Si No Estás,iñigo quintero,,,,unresolved,unmatched,,,iñigo quintero,,
413,Scared To Start,Michael Marcagi,,,,unresolved,unmatched,,,Michael Marcagi,,
588,"Loser, Baby",Andrew Underberg,,,,unresolved,unmatched,,,Andrew Underberg,,
844,The Lost Soul Down,NBSPLV,,,,unresolved,unmatched,,,NBSPLV,,
1010,Out For Love,Andrew Underberg,,,,unresolved,unmatched,,,Andrew Underberg,,
1259,CLEARED - Remix,Lilithzplug,,,,unresolved,unmatched,,,Lilithzplug,,
1398,Bad Feeling (Oompa Loompa),Jagwar Twin,,,,unresolved,unmatched,,,Jagwar Twin,,
2061,Stumblin' In,CYRIL,,,,unresolved,unmatched,,,CYRIL,,
2077,晩餐歌,tuki.,,,,unresolved,unmatched,,,tuki.,,
2265,Good Love,Hannah Laing,,,,unresolved,unmatched,,,Hannah Laing,,
2551,Someone To You,BANNERS,,,,unresolved,unmatched,,,BANNERS,,
2587,PARANOIA,HEARTSTEEL,,,,unresolved,unmatched,,,HEARTSTEEL,,
2715,Nochentera,Vicco,,,,unresolved,unmatched,,,Vicco,,
2995,Blonde Chaya - Sped Up,Amaru,,,,unresolved,unmatched,,,Amaru,,
3014,Like I Do,J.Tajor,,,,unresolved,unmatched,,,J.Tajor,,
3240,COSAS QUE NO TE DIJE,Saiko,,,,unresolved,unmatched,,,Saiko,,
3268,LDR - Sped Up,Shoti,,,,unresolved,unmatched,,,Shoti,,
3636,Stop Giving Me Advice,Lyrical Lemonade,,,,unresolved,unmatched,,,Lyrical Lemonade,,
3684,Bugambilia,Nasa Histoires,,,,unresolved,unmatched,,,Nasa Histoires,,
3975,Feuer Wasser Sturm,Niclov,,,,unresolved,unmatched,,,Niclov,,
4280,AUTODISTRUTTIVO,LA SAD,,,,unresolved,unmatched,,,LA SAD,,
4450,9 bis 9,SIRA,,,,unresolved,unmatched,,,SIRA,,
4452,9 bis 9 Sped Up (Shirli Version),SIRA,,,,unresolved,unmatched,,,SIRA,,
4475,Saan?,Maki,,,,unresolved,unmatched,,,Maki,,
4716,You're Welcome,Dwayne Johnson,,,,unresolved,unmatched,,,Dwayne Johnson,,
4788,2 days into college,Aimee Carty,,,,unresolved,unmatched,,,Aimee Carty,,
4875,Doomsday,Lyrical Lemonade,,,,unresolved,unmatched,,,Lyrical Lemonade,,
4933,Gold,Loi,,,,unresolved,unmatched,,,Loi,,
4956,Amapolas,Leo Rizzi,,,,unresolved,unmatched,,,Leo Rizzi,,
5629,You,Nathaniel,,,,unresolved,unmatched,,,Nathaniel,,
5639,OneShot,msht,,,,unresolved,unmatched,,,msht,,
5848,"Supermoce (feat. Igo, Mrozu & Vito Bambino)",Męskie Granie Orkiestra 2023,,,,unresolved,unmatched,,,Męskie Granie Orkiestra 2023,,
