Genre,ResolvedTrackCount,TSOccurrenceCount,ArtistOccurrenceCount
pop,16842,4355,33470
hip hop,12618,2248,41701
reggaeton,11202,7921,20102
urbano latino,10056,7827,15629
trap latino,9233,7234,11663
rap,8811,3857,17560
trap,8457,2874,19046
rock,8167,1018,20296
pop rap,6500,1615,14758
pop urbaine,6450,5642,4107
german hip hop,6261,5569,5659
dance pop,6094,1518,10807
pop rock,5757,112,14600
french hip hop,5570,5324,1651
latin,5482,651,21645
r & b,5376,795,10290
electropop,4433,357,9201
contemporary r & b,4253,58,8548
latin pop,3771,1915,6597
k-pop,3702,2144,5494
electronic,3689,18,9564
afrobeats,3535,2266,4617
italian pop,3293,3214,453
italian hip hop,3137,3137,0
finnish pop,3089,2620,3616
edm,3088,1582,4486
alternative rock,2986,204,6594
classic pop and rock,2970,0,6952
uk,2970,0,6824
finnish hip hop,2709,2354,2359
southern hip hop,2623,862,3821
corrido,2542,1583,3364
country,2532,317,5070
dancehall,2513,912,3353
soul,2482,153,5873
synth pop,2429,90,6808
mandopop,2415,2222,2725
polish hip hop,2394,2342,207
rap francais,2388,2380,84
czsk hip hop,2386,2386,0
dance,2331,3,5940
dutch hip hop,2330,2328,7
j-pop,2296,1616,3336
danish pop,2250,2250,0
banda,2241,1343,2865
afropop,2230,1236,3809
house,2181,543,4516
música mexicana,2163,1329,2319
reggae,2086,395,4012
indie rock,2078,172,4837
electro house,2066,666,3568
jazz,2059,44,5921
classical,2042,31,5154
alternative r & b,2032,102,3867
indie pop,2017,72,4609
turkish pop,2009,1642,2464
art pop,1996,403,3781
folk pop,1993,511,3159
hard rock,1983,189,3903
afrobeat,1961,873,4117
sertanejo universitario,1950,1603,2093
sertanejo,1939,1503,2502
cumbia,1936,1538,3226
danish hip hop,1921,1921,0
v-pop,1898,1627,1972
amapiano,1871,1257,2781
swedish pop,1834,1693,1588
usa,1823,0,3682
french rap,1811,874,5685
russian hip hop,1809,1798,48
hip hop rnb and dance hall,1800,0,3931
pop soul,1775,127,3649
corridos tumbados,1770,1096,2316
egyptian pop,1739,1113,2543
finnish dance pop,1724,1724,0
pop and chart,1707,0,3543
metal,1702,184,3274
turkish hip hop,1698,1511,1647
arrocha,1695,1325,1892
classic rock,1682,328,3073
dembow,1674,1319,2323
cantopop,1649,1417,2092
norwegian pop,1600,1327,1781
filmi,1594,1024,2321
arabic hip hop,1594,908,2606
afropiano,1592,815,3632
soft rock,1588,190,2927
hardcore hip hop,1586,134,3190
folk,1569,49,4120
corridos belicos,1557,845,2425
rock and indie,1552,0,3721
sad sierreno,1541,960,1701
new wave,1537,128,3678
funk,1517,242,4108
r&b,1501,2,3405
sierreno,1490,969,1498
pop dance,1481,1481,0
indie,1470,110,3899
t-pop,1460,1162,2110
blues,1455,28,3745
blues rock,1451,48,3472
latin hip hop,1446,1251,713
swedish hip hop,1444,1444,0
alternative pop,1436,0,2751
2008 universal fire victim,1409,0,3247
teen pop,1373,28,2369
kizomba,1346,307,1775
norteno,1338,868,1619
rap conscient,1336,1336,0
has german audiobooks,1324,0,3175
punk,1315,51,3409
swedish trap pop,1310,1310,0
italian adult pop,1305,1305,0
melodic rap,1298,915,946
khaleeji,1296,426,1918
polish trap,1293,1268,140
east coast hip hop,1290,426,2392
trap italiana,1286,1286,0
german pop,1271,1127,1095
nigerian pop,1263,1263,0
ambient,1263,15,2678
r & b francais,1251,1251,0
soca,1251,428,1288
colombian pop,1232,960,1161
gospel,1232,184,2448
dutch rap pop,1231,1231,0
nuno,1230,0,2450
tropical house,1221,418,1739
czech hip hop,1218,1218,0
salsa,1217,663,1587
moroccan pop,1207,607,1912
reggaeton chileno,1197,878,2322
gangsta rap,1185,0,3067
greek trap,1183,1173,56
mizrahi,1176,714,2206
merengue,1154,503,1900
agronejo,1152,898,1272
progressive house,1142,332,2190
desi,1133,523,3251
rock and roll,1119,6,3329
folk rock,1118,62,2810
electro corridos,1117,552,1724
french r & b,1113,397,2495
manele,1108,857,1489
german,1091,0,5942
eurodance,1090,163,2171
experimental,1083,4,2299
conscious hip hop,1082,330,1729
disco,1075,145,2266
punk rock,1069,0,2520
afro soul,1065,552,1536
alternative,1059,1,2357
psychedelic rock,1057,62,2345
opera,1053,5,2757
iskelma,1045,845,1941
art rock,1030,111,2132
indonesian pop,1016,874,1051
pop punk,1011,53,2224
funk carioca,1010,799,718
indietronica,1005,422,1093
c-pop,995,746,3197
ranchera,993,628,1292
uk hip hop,990,901,224
ragga,988,88,1901
mahraganat,987,649,1819
zouk,983,149,1332
country rock,980,35,2252
west coast hip hop,965,241,1705
neo soul,962,130,1736
egyptian hip hop,954,732,1367
vietnamese hip hop,953,784,1195
thai pop,953,705,1541
bachata,948,538,1207
trance,948,107,2240
bollywood,942,368,3153
russian trap,931,931,0
punjabi pop,927,762,1208
chilean trap,927,642,2153
french pop,927,626,1173
christmas,918,243,2090
grupera,916,451,1229
bulgarian pop,914,914,0
afro r & b,911,399,1884
hindi pop,904,353,2779
techno,904,87,1388
afro house,902,269,1372
boy band,899,216,1579
rap maroc,883,883,0
electronica,883,194,1990
russelater,868,645,880
special purpose,866,0,1868
rap marseille,859,859,0
suomi rock,859,859,0
electro,856,41,2076
afroswing,854,465,1607
heavy metal,854,26,1580
modern bollywood,851,851,0
americain,851,0,1696
canadian hip hop,844,375,764
cloud rap,844,110,1848
europop,843,169,1807
lounge,843,127,1458
reggaeton colombiano,841,841,0
desi hip hop,833,661,1168
united states,832,0,1672
drum and bass,830,78,1909
italian trap,822,608,3469
laiko,820,623,987
gqom,818,483,1973
chamber pop,810,122,1252
country pop,808,29,1444
uk pop,807,806,4
atl hip hop,805,805,0
opm,802,665,891
alternative metal,801,250,984
modern rock,799,799,0
tech house,797,153,1299
swedish gangsta rap,796,796,0
