OriginalValue,CanonicalGenre,OccurrenceCount
dance-pop,dance pop,10670
latin urban,urbano latino,8400
hip-hop,hip hop,4363
synth-pop,synth pop,3730
musica mexicana,música mexicana,3648
synthpop,synth pop,2874
rnb,r&b,2787
kpop,k-pop,1568
pop-rock,pop rock,1495
drum bass,drum and bass,1135
hiphop,hip hop,1113
latin trap,trap latino,830
rock & roll,rock and roll,798
rhythm and blues,r&b,620
folk-pop,folk pop,209
rock n roll,rock and roll,140
musica popular colombiana,música popular colombiana,114
jpop,j-pop,107
cpop,c-pop,44
electronic music,electronic,17
electro-pop,electropop,3
