Genre,TrackCount,PrimaryFamily,SecondaryFamilies,PrimaryWeight,PrimaryConfidence,Reasons,PriorityScore
eurodance,1090,,,,,no_family | no_related_styles | no_transition_styles,6.6832
disco,1075,,,,,no_family | no_related_styles | no_transition_styles,6.67
iskelma,1045,,,,,no_family | no_related_styles | no_transition_styles,6.643
christmas,918,,,,,no_family | no_related_styles | no_transition_styles,6.5193
russelater,868,,,,,no_family | no_related_styles | no_transition_styles,6.4658
lounge,843,,,,,no_family | no_related_styles | no_transition_styles,6.438
sad sierreno,1541,regional_mexican,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.3762
khaleeji,1296,middle_eastern,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.2259
r&b francais,1251,rnb_soul,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.1952
ska,642,,,,,no_family | no_related_styles | no_transition_styles,6.1781
new age,620,,,,,no_family | no_related_styles | no_transition_styles,6.1448
mizrahi,1176,middle_eastern,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.1416
alte,615,,,,,no_family | no_related_styles | no_transition_styles,6.1371
agronejo,1152,brazilian,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.1237
dansktop,604,,,,,no_family | no_related_styles | no_transition_styles,6.1199
desi,1133,world_asian,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.1092
club,593,,,,,no_family | no_related_styles | no_transition_styles,6.1023
likedis auto,590,,,,,no_family | no_related_styles | no_transition_styles,6.0975
french r&b,1113,rnb_soul,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.0938
manele,1108,middle_eastern,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.0899
easy listening,585,,,,,no_family | no_related_styles | no_transition_styles,6.0894
experimental,1083,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.0701
latin alternative,569,,,,,no_family | no_related_styles | no_transition_styles,6.0629
alternative,1059,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.0506
mashup,548,,,,,no_family | no_related_styles | no_transition_styles,6.0271
urbano chileno,548,,,,,no_family | no_related_styles | no_transition_styles,6.0271
urbano espanol,548,,,,,no_family | no_related_styles | no_transition_styles,6.0271
private school piano,547,,,,,no_family | no_related_styles | no_transition_styles,6.0253
schlager,544,,,,,no_family | no_related_styles | no_transition_styles,6.0201
funk carioca,1010,brazilian,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.0095
indietronica,1005,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,6.0052
mahraganat,987,middle_eastern,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.9895
trip hop,525,,,,,no_family | no_related_styles | no_transition_styles,5.9862
israeli mediterranean,515,,,,,no_family | no_related_styles | no_transition_styles,5.9678
neo soul,962,rnb_soul,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.9673
bollywood,942,world_asian,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.949
chillout,502,,,,,no_family | no_related_styles | no_transition_styles,5.9434
grupera,916,regional_mexican,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.9247
tango,484,,,,,no_family | no_related_styles | no_transition_styles,5.9086
fusion,483,,,,,no_family | no_related_styles | no_transition_styles,5.9067
goth,480,,,,,no_family | no_related_styles | no_transition_styles,5.9007
psychobilly,477,,,,,no_family | no_related_styles | no_transition_styles,5.8947
beethoven,472,,,,,no_family | no_related_styles | no_transition_styles,5.8847
lofi,467,,,,,no_family | no_related_styles | no_transition_styles,5.8745
electro,856,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.866
classic,462,,,,,no_family | no_related_styles | no_transition_styles,5.8643
modern bollywood,851,world_asian,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,5.8609
berlin school,459,,,,,no_family | no_related_styles | no_transition_styles,5.8581
permanent wave,457,,,,,no_family | no_related_styles | no_transition_styles,5.8539
chicago,456,,,,,no_family | no_related_styles | no_transition_styles,5.8518
hillbilly,456,,,,,no_family | no_related_styles | no_transition_styles,5.8518
meditation,456,,,,,no_family | no_related_styles | no_transition_styles,5.8518
vietnam indie,455,,,,,no_family | no_related_styles | no_transition_styles,5.8497
101 moments in music,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
2001 space odyssey,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
50cents,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
80 s fresh new,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
absolute voices,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
acoustic best,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
adam beyer,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
africa middle east,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
alirio diaz,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
andrade,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
andre powels,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
andrew york,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
armin van buuren,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
backstreet boys,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
bareto,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
basque,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
bflaminio,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
binaural beats,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
birthday,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
boot land,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
casanovas,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
cdnnnow128,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
cdx,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
celtic celebration,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
classique,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
classwar karaoke,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
cobles,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
compilatie,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
desperado,454,,,,,no_family | no_related_styles | no_transition_styles,5.8476
