Genre,TrackCount,PrimaryFamily,PrimaryWeight,PrimaryConfidence,Reason
rap francais,2388,hip_hop,0.45,fallback,untrusted_fallback
v-pop,1898,pop,0.45,fallback,untrusted_fallback
pop soul,1775,pop,0.45,fallback,untrusted_fallback
cantopop,1649,pop,0.45,fallback,untrusted_fallback
new wave,1537,rock,0.45,fallback,untrusted_fallback
pop dance,1481,pop,0.45,fallback,untrusted_fallback
t-pop,1460,pop,0.45,fallback,untrusted_fallback
kizomba,1346,caribbean,0.45,fallback,untrusted_fallback
rap conscient,1336,hip_hop,0.45,fallback,untrusted_fallback
trap italiana,1286,hip_hop,0.45,fallback,untrusted_fallback
rock and roll,1119,rock,0.45,fallback,untrusted_fallback
eurodance,1090,,0.0,,no_primary_family
disco,1075,,0.0,,no_primary_family
iskelma,1045,,0.0,,no_primary_family
c-pop,995,pop,0.45,fallback,untrusted_fallback
ragga,988,caribbean,0.45,fallback,untrusted_fallback
mahraganat,987,middle_eastern,0.45,fallback,untrusted_fallback
zouk,983,caribbean,0.45,fallback,untrusted_fallback
bollywood,942,world_asian,0.45,fallback,untrusted_fallback
christmas,918,,0.0,,no_primary_family
rap maroc,883,hip_hop,0.45,fallback,untrusted_fallback
russelater,868,,0.0,,no_primary_family
rap marseille,859,hip_hop,0.45,fallback,untrusted_fallback
modern bollywood,851,world_asian,0.45,fallback,untrusted_fallback
europop,843,pop,0.45,fallback,untrusted_fallback
lounge,843,,0.0,,no_primary_family
drum and bass,830,bass_music,0.45,fallback,untrusted_fallback
laiko,820,middle_eastern,0.45,fallback,untrusted_fallback
opm,802,world_asian,0.45,fallback,untrusted_fallback
chilean mambo,789,latin_tropical,0.45,fallback,untrusted_fallback
americana,778,country_folk,0.45,fallback,untrusted_fallback
world,769,world_asian,0.45,fallback,untrusted_fallback
trap argentino,764,hip_hop,0.45,fallback,untrusted_fallback
film soundtrack,763,soundtrack_stage,0.45,fallback,untrusted_fallback
adult contemporary,760,pop,0.45,fallback,untrusted_fallback
j-rock,758,rock,0.45,fallback,untrusted_fallback
indie folk,753,country_folk,0.45,fallback,untrusted_fallback
rai,736,middle_eastern,0.45,fallback,untrusted_fallback
tropical,730,latin_tropical,0.45,fallback,untrusted_fallback
contemporary country,707,country_folk,0.45,fallback,untrusted_fallback
calypso,698,caribbean,0.45,fallback,untrusted_fallback
boom bap,691,hip_hop,0.45,fallback,untrusted_fallback
azonto,687,african,0.45,fallback,untrusted_fallback
3 step,677,house,0.45,fallback,untrusted_fallback
anime,676,soundtrack_stage,0.45,fallback,untrusted_fallback
chalga,674,middle_eastern,0.45,fallback,untrusted_fallback
rockabilly,652,rock,0.45,fallback,untrusted_fallback
ska,642,,0.0,,no_primary_family
kuduro,637,caribbean,0.45,fallback,untrusted_fallback
hip hop tuga,632,hip_hop,0.45,fallback,untrusted_fallback
sufi,630,middle_eastern,0.45,fallback,untrusted_fallback
new age,620,,0.0,,no_primary_family
ballad,618,pop,0.45,fallback,untrusted_fallback
alte,615,,0.0,,no_primary_family
