Genre,TrackCount,PrimaryFamily,SecondaryFamilies,PrimaryWeight,PrimaryConfidence,ReviewReasons,PriorityScore
alternative r&b,2032,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,10.4206
contemporary r&b,4253,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,9.6163
experimental,1083,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,9.5603
alternative,1059,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,9.5297
modern bollywood,851,world_asian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,9.2309
soul,2482,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.9967
pop urbaine,6450,pop,,0.45,fallback,low_primary_weight | low_confidence,8.5717
arrocha,1695,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.558
filmi,1594,world_asian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.4873
sad sierreno,1541,regional_mexican,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.4484
latin,5482,latin_tropical,,0.45,fallback,low_primary_weight | low_confidence,8.4128
sierreno,1490,regional_mexican,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.4097
norteno,1338,regional_mexican,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.286
khaleeji,1296,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.2493
ambient,1263,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.2196
r&b francais,1251,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.2087
mizrahi,1176,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.1376
agronejo,1152,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.1138
desi,1133,world_asian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.0947
french r&b,1113,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.0742
manele,1108,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,8.0691
funk carioca,1010,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.9626
indietronica,1005,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.9569
mahraganat,987,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.9361
neo soul,962,rnb_soul,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.9066
bollywood,942,world_asian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.8825
grupera,916,regional_mexican,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.8503
electro,856,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.7724
drum and bass,830,bass_music,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.7369
laiko,820,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.723
latin alternative,569,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,7.7164
opm,802,world_asian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.6975
instrumental,786,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.6743
americana,778,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.6626
regional mexicano,771,regional_mexican,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.6522
world,769,world_asian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.6492
film soundtrack,763,soundtrack_stage,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.6402
indie folk,753,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.625
rap francais,2388,hip_hop,,0.45,fallback,low_primary_weight | low_confidence,7.601
downtempo,736,electronic,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.5988
rai,736,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.5988
tejano,723,regional_mexican,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.5783
contemporary country,707,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.5526
anime,676,soundtrack_stage,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.5011
chalga,674,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.4977
classic,462,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,7.4636
experience the classics,454,,,,,no_family | no_related_styles | no_transition_styles | broad_or_marketing_tag,7.4424
sufi,630,middle_eastern,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.4201
v-pop,1898,pop,world_asian,0.45,fallback,low_primary_weight | low_confidence,7.3767
musical,600,soundtrack_stage,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.364
devotional,589,gospel_spiritual,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.3428
alternative country,213,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles | broad_or_marketing_tag,7.3408
funk,1517,,,,,no_family | no_related_styles | no_transition_styles,7.3169
pop soul,1775,pop,rnb_soul,0.45,fallback,low_primary_weight | low_confidence,7.3112
psytrance,571,trance,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.3071
easy listening soundtracks and musicals,569,soundtrack_stage,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.3031
bluegrass,566,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.297
indie,1470,,,,,no_family | no_related_styles | no_transition_styles,7.2855
jungle,541,bass_music,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.2451
cantopop,1649,pop,world_asian,0.45,fallback,low_primary_weight | low_confidence,7.2393
choral,531,classical,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.2237
worship,531,gospel_spiritual,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.2237
riddim,522,bass_music,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.204
new wave,1537,rock,,0.45,fallback,low_primary_weight | low_confidence,7.1707
pop reggaeton,223,caribbean,latin_urban | pop,0.45,fallback,many_families | low_primary_weight | low_confidence,7.1683
pop dance,1481,pop,,0.45,fallback,low_primary_weight | low_confidence,7.1344
t-pop,1460,pop,world_asian,0.45,fallback,low_primary_weight | low_confidence,7.1205
piseiro,472,brazilian,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.0884
folklore,460,country_folk,,0.45,fallback,low_primary_weight | low_confidence | no_transition_styles,7.0588
