RawGenre,NormalizedGenre,Reason,ResolvedTrackCount,TSOccurrenceCount,ArtistOccurrenceCount
uk,uk music,country_or_location_only,2970,0,6824
usa,us music,country_or_location_only,1823,0,3682
2008 universal fire victim,2008 universal fire victim,known_non_genre,1409,0,3247
has german audiobooks,has german audiobooks,editorial_or_metadata,1324,0,3175
nuno,nuno,known_non_genre,1230,0,2450
german,german,country_or_location_only,1091,0,5942
boy band,boy band,known_non_genre,899,216,1579
special purpose,special purpose,known_non_genre,866,0,1868
americain,americain,country_or_location_only,851,0,1696
united states,us music,country_or_location_only,832,0,1672
european,european,country_or_location_only,758,0,2257
80s,80s,decade_tag,745,0,1910
fix,fix,known_non_genre,731,0,1681
90s,90s,decade_tag,654,0,1457
queer,queer,known_non_genre,648,0,1378
boy group,boy group,known_non_genre,603,0,1621
film composer,film composer,known_non_genre,561,0,1381
late 2000s,late 2000s,decade_tag,539,0,985
bogus artist,bogus artist,known_non_genre,487,0,858
french,french,country_or_location_only,478,0,1363
japan,japan,country_or_location_only,475,0,1272
us,us music,country_or_location_only,473,0,1015
fuzzy artist,fuzzy artist,known_non_genre,464,0,1149
http:,http:,known_non_genre,462,0,1165
a filk artist,a filk artist,editorial_or_metadata,457,0,816
21 throwback jams,21 throwback jams,editorial_or_metadata,454,0,1135
a crooner collection,a crooner collection,editorial_or_metadata,454,0,1134
audiobook,audiobook,editorial_or_metadata,454,0,1188
billboard 1 hits,billboard 1 hits,editorial_or_metadata,454,0,1134
bravo hits,bravo hits,editorial_or_metadata,454,0,1134
bravo hits 82,bravo hits 82,editorial_or_metadata,454,0,1134
breakout artists,breakout artists,editorial_or_metadata,454,0,1134
don t rate the va artist,don t rate the va artist,editorial_or_metadata,454,0,1134
fix‌me,fix‌me,known_non_genre,454,0,1135
hollywood hits,hollywood hits,editorial_or_metadata,454,0,1135
hot hits,hot hits,editorial_or_metadata,454,0,1134
make,make,known_non_genre,454,0,3403
mess,mess,known_non_genre,454,0,1134
m‌ess,m‌ess,known_non_genre,454,0,1135
not *every* artist,not *every* artist,editorial_or_metadata,454,0,1134
oldest artist #1,oldest artist #1,editorial_or_metadata,454,0,1134
practically all these tags are fail,practically all these tags are fail,editorial_or_metadata,454,0,1134
put in brackets,put in brackets,editorial_or_metadata,454,0,1135
tags,tags,known_non_genre,454,0,1135
various,various,known_non_genre,454,0,1135
britannique,britannique,country_or_location_only,452,0,1086
girl group,girl group,known_non_genre,452,125,1200
aln-sh,aln-sh,known_non_genre,364,0,955
bogus,bogus,known_non_genre,364,0,676
mergeme,mergeme,known_non_genre,363,0,673
author,author,known_non_genre,356,0,936
reino unido,uk music,country_or_location_only,341,0,686
band,band,known_non_genre,336,0,598
music for soccer moms,music for soccer moms,editorial_or_metadata,335,0,852
album rock,album rock,editorial_or_metadata,325,199,482
united kingdom,uk music,country_or_location_only,324,0,813
estados unidos,us music,country_or_location_only,322,0,687
00s,00s,decade_tag,321,0,729
nepo baby,nepo baby,known_non_genre,318,0,427
70s,70s,decade_tag,301,0,1039
hp,hp,known_non_genre,300,0,359
re-recording,re-recording,known_non_genre,300,0,359
england,england,country_or_location_only,297,0,568
france,france,country_or_location_only,297,0,534
server name,server name,known_non_genre,296,0,863
spamess,spamess,editorial_or_metadata,287,0,563
merge,merge,known_non_genre,285,0,556
software company as artist,software company as artist,known_non_genre,280,0,549
cleanup,cleanup,known_non_genre,279,0,547
dumping ground,dumping ground,known_non_genre,279,0,547
johny johny yes papa,johny johny yes papa,editorial_or_metadata,279,0,547
kids hut,kids hut,editorial_or_metadata,279,0,547
kids songs,kids songs,editorial_or_metadata,279,0,547
merge me,merge me,known_non_genre,279,0,553
nursery rhymes,nursery rhymes,editorial_or_metadata,279,0,547
nursery rhymes collection,nursery rhymes collection,editorial_or_metadata,279,0,547
nursery rhymes playlist,nursery rhymes playlist,editorial_or_metadata,279,0,547
test merging tags test,test merging tags test,editorial_or_metadata,279,0,547
wheels on the bus,wheels on the bus,editorial_or_metadata,279,0,547
korean,korean,country_or_location_only,273,0,520
criminal,criminal,known_non_genre,263,0,464
favoritos,favoritos,known_non_genre,257,0,662
lyricist,lyricist,known_non_genre,255,0,510
turkish,turkish,country_or_location_only,253,0,1308
60s,60s,decade_tag,246,0,508
non-musician,non-musician,known_non_genre,244,0,712
deu,deu,known_non_genre,240,0,681
queerphobe,queerphobe,known_non_genre,240,0,681
terf,terf,known_non_genre,240,0,681
transphobe,transphobe,known_non_genre,240,0,681
scottish,scottish,country_or_location_only,224,0,361
male vocalists,male vocalists,known_non_genre,219,0,344
columbia,columbia,country_or_location_only,213,0,625
british composer,british composer,known_non_genre,206,0,348
lithuania,lithuania,country_or_location_only,205,0,730
lithuanian,lithuanian,country_or_location_only,205,0,731
virginia,virginia,country_or_location_only,204,0,250
needs to be removed,needs to be removed,editorial_or_metadata,202,0,247
va,va,known_non_genre,202,0,246
russian,russian,country_or_location_only,200,0,350
boysband,boysband,known_non_genre,193,0,288
death by murder,death by murder,known_non_genre,185,0,459
chanteur,chanteur,known_non_genre,182,0,251
academy award winner,academy award winner,known_non_genre,178,0,628
audio drama,audio drama,editorial_or_metadata,174,0,476
compositeur,compositeur,known_non_genre,173,0,345
italian,italian,country_or_location_only,172,0,791
kolumbien,kolumbien,country_or_location_only,171,0,553
10s,10s,decade_tag,166,0,303
cool,cool,known_non_genre,166,0,201
composers,composers,known_non_genre,165,0,474
hungarian,hungarian,country_or_location_only,163,0,519
hungary,hungary,country_or_location_only,163,0,519
magyar,magyar,country_or_location_only,163,0,519
parolier,parolier,known_non_genre,163,0,320
scotland,scotland,country_or_location_only,160,0,241
multiple ipi,multiple ipi,known_non_genre,159,0,313
german audiobook reader,german audiobook reader,editorial_or_metadata,147,0,324
tribute albums,tribute albums,editorial_or_metadata,131,0,187
independent artist,independent artist,editorial_or_metadata,130,0,236
late 2010s,late 2010s,decade_tag,119,0,149
greatest hits,greatest hits,editorial_or_metadata,118,0,275
fictitious artist,fictitious artist,editorial_or_metadata,113,0,355
fictitious-artist,fictitious-artist,editorial_or_metadata,83,0,262
merge into [no artist,merge into [no artist,editorial_or_metadata,78,0,117
needs merging into [no artist,needs merging into [no artist,editorial_or_metadata,78,0,117
eurovision 2024 artists,eurovision 2024 artists,editorial_or_metadata,62,0,264
eurovision 2023 artists,eurovision 2023 artists,editorial_or_metadata,60,0,208
messe h-moll,messe h-moll,editorial_or_metadata,54,0,237
use actual artists,use actual artists,editorial_or_metadata,49,0,50
series title as artist,series title as artist,editorial_or_metadata,42,0,187
eurovision 2022 artists,eurovision 2022 artists,editorial_or_metadata,37,0,177
album oriented rock,album oriented rock,editorial_or_metadata,35,0,41
fuzzy artist-series,fuzzy artist-series,editorial_or_metadata,33,0,140
id artist,id artist,editorial_or_metadata,26,0,28
collection,collection,editorial_or_metadata,23,0,53
messiah of rock and roll,messiah of rock and roll,editorial_or_metadata,23,0,54
phil collins hits cd2,phil collins hits cd2,editorial_or_metadata,21,0,26
50s,50s,decade_tag,20,0,50
not a bogus artist,not a bogus artist,editorial_or_metadata,16,0,17
azerbaijani female artist,azerbaijani female artist,editorial_or_metadata,14,0,15
oldest artist #4,oldest artist #4,editorial_or_metadata,12,0,13
fix whosampled dupe url,fix whosampled dupe url,editorial_or_metadata,8,0,80
mb artist credit,mb artist credit,editorial_or_metadata,7,0,47
wrong artist,wrong artist,editorial_or_metadata,6,0,6
need cleanup,need cleanup,editorial_or_metadata,5,0,40
#sb19,#sb19,below_min_track_count,4,0,24
#sb19poprise,#sb19poprise,below_min_track_count,4,0,24
#sb19ppoprise,#sb19ppoprise,below_min_track_count,4,0,24
2000s hong kong debut,2000s hong kong debut,below_min_track_count,4,0,18
72 meters,72 meters,below_min_track_count,4,0,6
80s pop,80s pop,below_min_track_count,4,0,10
absolute music,absolute music,below_min_track_count,4,0,6
abstract beats,abstract beats,below_min_track_count,4,4,0
acid breaks,acid breaks,below_min_track_count,4,0,6
