Genre,TrackCount,Reason
dance,2331,no_family_rule
funk,1517,no_family_rule
indie,1470,no_family_rule
eurodance,1090,no_family_rule
disco,1075,no_family_rule
iskelma,1045,no_family_rule
christmas,918,no_family_rule
russelater,868,no_family_rule
lounge,843,no_family_rule
ska,642,no_family_rule
afro adura,632,no_family_rule
new age,620,no_family_rule
alte,615,no_family_rule
dansktop,604,no_family_rule
club,593,no_family_rule
likedis auto,590,no_family_rule
easy listening,585,no_family_rule
latin alternative,569,no_family_rule
mashup,548,no_family_rule
urbano chileno,548,no_family_rule
urbano espanol,548,no_family_rule
private school piano,547,no_family_rule
schlager,544,no_family_rule
trip hop,525,no_family_rule
israeli mediterranean,515,no_family_rule
chillout,502,no_family_rule
tango,484,no_family_rule
fusion,483,no_family_rule
goth,480,no_family_rule
psychobilly,477,no_family_rule
beethoven,472,no_family_rule
lofi,467,no_family_rule
classic,462,no_family_rule
berlin school,459,no_family_rule
permanent wave,457,no_family_rule
chicago,456,no_family_rule
hillbilly,456,no_family_rule
meditation,456,no_family_rule
vietnam indie,455,no_family_rule
101 moments in music,454,no_family_rule
2001 space odyssey,454,no_family_rule
50cents,454,no_family_rule
80 s fresh new,454,no_family_rule
absolute voices,454,no_family_rule
acoustic best,454,no_family_rule
adam beyer,454,no_family_rule
africa middle east,454,no_family_rule
alirio diaz,454,no_family_rule
andrade,454,no_family_rule
andre powels,454,no_family_rule
andrew york,454,no_family_rule
armin van buuren,454,no_family_rule
backstreet boys,454,no_family_rule
bareto,454,no_family_rule
basque,454,no_family_rule
bflaminio,454,no_family_rule
binaural beats,454,no_family_rule
birthday,454,no_family_rule
boot land,454,no_family_rule
casanovas,454,no_family_rule
cdnnnow128,454,no_family_rule
cdx,454,no_family_rule
celtic celebration,454,no_family_rule
celtic spirit vol 7,454,no_family_rule
classique,454,no_family_rule
classwar karaoke,454,no_family_rule
cobles,454,no_family_rule
compilatie,454,no_family_rule
dedicated to you vol 1,454,no_family_rule
desperado,454,no_family_rule
dfree843,454,no_family_rule
die drei,454,no_family_rule
dresch,454,no_family_rule
driven by 80s anthems,454,no_family_rule
educacion,454,no_family_rule
elc chritmas,454,no_family_rule
experience the classics,454,no_family_rule
fjord,454,no_family_rule
foreign language,454,no_family_rule
frederic chopin,454,no_family_rule
futebol,454,no_family_rule
gerard palaprat,454,no_family_rule
glass,454,no_family_rule
grase,454,no_family_rule
groom to the gallows,454,no_family_rule
healing sixes,454,no_family_rule
hemi-sync,454,no_family_rule
ibiza,454,no_family_rule
infantil,454,no_family_rule
john coltrane,454,no_family_rule
josquin,454,no_family_rule
jucanto,454,no_family_rule
kinderchore,454,no_family_rule
kinderliedjes kapiteinwinokio humo,454,no_family_rule
klaus baumgart,454,no_family_rule
la grande sophie,454,no_family_rule
leaving on a jet plan,454,no_family_rule
legion of von,454,no_family_rule
lil eazy-e,454,no_family_rule
liturgic,454,no_family_rule
liz,454,no_family_rule
liz andrade,454,no_family_rule
local music of iran,454,no_family_rule
los 24 grandes exitos de la zarzuela,454,no_family_rule
marilyn manson,454,no_family_rule
mary j blige,454,no_family_rule
mega,454,no_family_rule
michael jackson,454,no_family_rule
mimicking birds,454,no_family_rule
miroque,454,no_family_rule
mohsen namjoo,454,no_family_rule
montuno,454,no_family_rule
more 70,454,no_family_rule
my sharona,454,no_family_rule
ncs,454,no_family_rule
nederlands,454,no_family_rule
new generations,454,no_family_rule
new generations philip glass,454,no_family_rule
niroshima,454,no_family_rule
nitzer ebb,454,no_family_rule
nox,454,no_family_rule
number 1,454,no_family_rule
orthodox,454,no_family_rule
papeete,454,no_family_rule
pavarotti,454,no_family_rule
piosenka poetycka muzyka autorska,454,no_family_rule
pzzqxnzt6snn ekrngheoblbupu-,454,no_family_rule
razieq,454,no_family_rule
rhythm del mundo,454,no_family_rule
ronak bhatt,454,no_family_rule
shankar jaikishan,454,no_family_rule
shine 4,454,no_family_rule
shwetabh sucks,454,no_family_rule
sonic seducer cold hands vi,454,no_family_rule
sprechgesang,454,no_family_rule
sunshine,454,no_family_rule
the welcome committee,454,no_family_rule
trikitixa,454,no_family_rule
tunguska chillout grooves,454,no_family_rule
ultimatecore,454,no_family_rule
ussr ministry of culture chamber choir,454,no_family_rule
venezolana,454,no_family_rule
vera kaa,454,no_family_rule
visions,454,no_family_rule
volkstumliche musik,454,no_family_rule
wireharp,454,no_family_rule
z103 5 street mix 2k7,454,no_family_rule
zero t 51,454,no_family_rule
zweiohr,454,no_family_rule
ƒk₷m€,454,no_family_rule
мелодии рождества,454,no_family_rule
嫌われ松子の歌たち,454,no_family_rule
s.a. souvenirs,446,no_family_rule
chanson,439,no_family_rule
big room,437,no_family_rule
uk dance,428,no_family_rule
funk consciente,393,no_family_rule
moombahton,392,no_family_rule
epadunk,389,no_family_rule
neo psychedelia,385,no_family_rule
alt z,363,no_family_rule
fantasy,361,no_family_rule
pov: indie,339,no_family_rule
indian indie,333,no_family_rule
parlophone,329,no_family_rule
production music,326,no_family_rule
adult standards,317,no_family_rule
asakaa,315,no_family_rule
bhangra,310,no_family_rule
malay,302,no_family_rule
psychedelic,302,no_family_rule
taylor-swift,300,no_family_rule
pbr & b,285,no_family_rule
flamenco urbano,284,no_family_rule
german indie,284,no_family_rule
standards,284,no_family_rule
traditional,280,no_family_rule
lazy asses,279,no_family_rule
relaxation,279,no_family_rule
rhymes,279,no_family_rule
variete francaise,278,no_family_rule
rome indie,276,no_family_rule
cancion melodica,271,no_family_rule
nu disco,271,no_family_rule
horrorcore,267,no_family_rule
leftfield,267,no_family_rule
neo mellow,264,no_family_rule
alternative dance,251,no_family_rule
sadcore,251,no_family_rule
traditional music,250,no_family_rule
taiwan indie,247,no_family_rule
indie viet,241,no_family_rule
moroccan chaabi,231,no_family_rule
score,228,no_family_rule
beat music,227,no_family_rule
indonesian indie,225,no_family_rule
chinese indie,222,no_family_rule
dangdut,222,no_family_rule
milan indie,205,no_family_rule
british invasion,203,no_family_rule
alabama thunderpussy,202,no_family_rule
